,Unnamed: 0,x
0,1500597773,58.0
1,1500684173,74.0
2,1500770573,16.0
3,1500856973,69.0
4,1500943373,20.0
5,1501029773,24.0
6,1501116173,12.0
7,1501202573,53.0
8,1501288973,82.0
9,1501375373,57.0
10,1501461773,15.0
11,1501548173,45.0
12,1501634573,89.0
13,1501720973,57.0
14,1501807373,99.0
15,1501893773,78.0
16,1501980173,52.0
17,1502066573,65.0
18,1502152973,6.0
19,1502239373,77.0
20,1502325773,48.0
21,1502412173,52.0
22,1502498573,42.0
23,1502584973,15.0
24,1502671373,88.0
25,1502757773,15.0
26,1502844173,99.0
27,1502930573,64.0
28,1503016973,48.0
29,1503103373,2.0
30,1503189773,6.0
31,1503276173,99.0
32,1503362573,15.0
33,1503448973,67.0
34,1503535373,21.0
35,1503621773,50.0
36,1503708173,1.0
37,1503794573,90.0
38,1503880973,7.0
39,1503967373,16.0
40,1504053773,61.0
41,1504140173,34.0
42,1504226573,23.0
43,1504312973,61.0
44,1504399373,50.0
45,1504485773,52.0
46,1504572173,40.0
47,1504658573,63.0
48,1504744973,42.0
49,1504831373,19.0
50,1504917773,24.0
51,1505004173,14.0
52,1505090573,12.0
53,1505176973,66.0
54,1505263373,94.0
55,1505349773,56.0
56,1505436173,26.0
57,1505522573,98.0
58,1505608973,98.0
59,1505695373,30.0
60,1505781773,21.0
61,1505868173,43.0
62,1505954573,48.0
63,1506040973,63.0
64,1506127373,21.0
65,1506213773,56.0
66,1506300173,67.0
67,1506386573,36.0
68,1506472973,97.0
69,1506559373,25.0
70,1506645773,49.0
71,1506732173,43.0
72,1506818573,9.0
73,1506904973,21.0
74,1506991373,37.0
75,1507077773,95.0
76,1507164173,15.0
77,1507250573,97.0
78,1507336973,12.0
79,1507423373,2.0
80,1507509773,18.0
81,1507596173,61.0
82,1507682573,35.0
83,1507768973,24.0
84,1507855373,41.0
85,1507941773,85.0
86,1508028173,26.0
87,1508114573,15.0
88,1508200973,45.0
89,1508287373,64.0
90,1508373773,20.0
91,1508460173,10.0
92,1508546573,28.0
93,1508632973,34.0
94,1508719373,55.0
95,1508805773,66.0
96,1508892173,31.0
97,1508978573,12.0
98,1509064973,60.0
99,1509151373,55.0
