1500943219,14.0
1501029619,21.0
1501116019,39.0
1501202419,9.0
1501288819,23.0
1501375219,12.0
1501461619,88.0
1501548019,82.0
1501634419,89.0
1501720819,45.0
1501807219,69.0
1501893619,25.0
1501980019,58.0
1502066419,95.0
1502152819,46.0
1502239219,80.0
1502325619,75.0
1502412019,28.0
1502498419,90.0
1502584819,39.0
1502671219,13.0
1502757619,6.0
1502844019,15.0
1502930419,11.0
1503016819,4.0
1503103219,69.0
1503189619,20.0
1503276019,4.0
1503362419,79.0
1503448819,34.0
1503535219,71.0
1503621619,53.0
1503708019,53.0
1503794419,91.0
1503880819,55.0
1503967219,40.0
1504053619,33.0
1504140019,50.0
1504226419,14.0
1504312819,10.0
1504399219,68.0
1504485619,82.0
1504572019,38.0
1504658419,66.0
1504744819,66.0
1504831219,10.0
1504917619,87.0
1505004019,23.0
1505090419,33.0
1505176819,89.0
1505263219,35.0
1505349619,57.0
1505436019,35.0
1505522419,0.0
1505608819,48.0
1505695219,44.0
1505781619,33.0
1505868019,61.0
1505954419,40.0
1506040819,62.0
1506127219,12.0
1506213619,61.0
1506300019,73.0
1506386419,61.0
1506472819,56.0
1506559219,73.0
1506645619,28.0
1506732019,56.0
1506818419,68.0
1506904819,18.0
1506991219,72.0
1507077619,45.0
1507164019,11.0
1507250419,57.0
1507336819,95.0
1507423219,96.0
1507509619,91.0
1507596019,12.0
1507682419,26.0
1507768819,77.0
1507855219,31.0
1507941619,32.0
1508028019,20.0
1508114419,79.0
1508200819,23.0
1508287219,80.0
1508373619,29.0
1508460019,25.0
1508546419,67.0
1508632819,82.0
1508719219,45.0
1508805619,86.0
1508892019,41.0
1508978419,43.0
1509064819,6.0
1509151219,97.0
1509237619,54.0
1509324019,68.0
1509410419,64.0
1509496819,41.0
