,Unnamed: 0,x
0,1500597773,56.0
1,1500684173,56.0
2,1500770573,30.0
3,1500856973,89.0
4,1500943373,31.0
5,1501029773,83.0
6,1501116173,48.0
7,1501202573,37.0
8,1501288973,23.0
9,1501375373,16.0
10,1501461773,61.0
11,1501548173,84.0
12,1501634573,51.0
13,1501720973,16.0
14,1501807373,61.0
15,1501893773,45.0
16,1501980173,5.0
17,1502066573,59.0
18,1502152973,35.0
19,1502239373,31.0
20,1502325773,46.0
21,1502412173,41.0
22,1502498573,72.0
23,1502584973,21.0
24,1502671373,18.0
25,1502757773,96.0
26,1502844173,15.0
27,1502930573,12.0
28,1503016973,85.0
29,1503103373,41.0
30,1503189773,5.0
31,1503276173,48.0
32,1503362573,76.0
33,1503448973,22.0
34,1503535373,76.0
35,1503621773,15.0
36,1503708173,21.0
37,1503794573,3.0
38,1503880973,6.0
39,1503967373,21.0
40,1504053773,9.0
41,1504140173,10.0
42,1504226573,38.0
43,1504312973,38.0
44,1504399373,94.0
45,1504485773,1.0
46,1504572173,62.0
47,1504658573,65.0
48,1504744973,17.0
49,1504831373,24.0
50,1504917773,67.0
51,1505004173,50.0
52,1505090573,46.0
53,1505176973,60.0
54,1505263373,84.0
55,1505349773,72.0
56,1505436173,62.0
57,1505522573,9.0
58,1505608973,66.0
59,1505695373,79.0
60,1505781773,25.0
61,1505868173,14.0
62,1505954573,66.0
63,1506040973,72.0
64,1506127373,24.0
65,1506213773,94.0
66,1506300173,67.0
67,1506386573,38.0
68,1506472973,53.0
69,1506559373,24.0
70,1506645773,68.0
71,1506732173,31.0
72,1506818573,7.0
73,1506904973,96.0
74,1506991373,17.0
75,1507077773,59.0
76,1507164173,81.0
77,1507250573,32.0
78,1507336973,99.0
79,1507423373,64.0
80,1507509773,18.0
81,1507596173,67.0
82,1507682573,32.0
83,1507768973,72.0
84,1507855373,27.0
85,1507941773,4.0
86,1508028173,36.0
87,1508114573,70.0
88,1508200973,42.0
89,1508287373,83.0
90,1508373773,1.0
91,1508460173,48.0
92,1508546573,62.0
93,1508632973,20.0
94,1508719373,99.0
95,1508805773,11.0
96,1508892173,90.0
97,1508978573,48.0
98,1509064973,13.0
99,1509151373,24.0
