,Unnamed: 0,x
0,1500597843,26.0
1,1500684243,35.0
2,1500770643,72.0
3,1500857043,83.0
4,1500943443,23.0
5,1501029843,86.0
6,1501116243,66.0
7,1501202643,42.0
8,1501289043,50.0
9,1501375443,90.0
10,1501461843,57.0
11,1501548243,42.0
12,1501634643,11.0
13,1501721043,81.0
14,1501807443,67.0
15,1501893843,27.0
16,1501980243,10.0
17,1502066643,68.0
18,1502153043,77.0
19,1502239443,45.0
20,1502325843,86.0
21,1502412243,67.0
22,1502498643,63.0
23,1502585043,44.0
24,1502671443,88.0
25,1502757843,8.0
26,1502844243,22.0
27,1502930643,2.0
28,1503017043,3.0
29,1503103443,90.0
30,1503189843,40.0
31,1503276243,69.0
32,1503362643,39.0
33,1503449043,17.0
34,1503535443,16.0
35,1503621843,73.0
36,1503708243,5.0
37,1503794643,44.0
38,1503881043,36.0
39,1503967443,62.0
40,1504053843,24.0
41,1504140243,74.0
42,1504226643,76.0
43,1504313043,97.0
44,1504399443,71.0
45,1504485843,5.0
46,1504572243,89.0
47,1504658643,39.0
48,1504745043,57.0
49,1504831443,88.0
50,1504917843,50.0
51,1505004243,26.0
52,1505090643,5.0
53,1505177043,86.0
54,1505263443,94.0
55,1505349843,65.0
56,1505436243,87.0
57,1505522643,33.0
58,1505609043,70.0
59,1505695443,53.0
60,1505781843,11.0
61,1505868243,78.0
62,1505954643,5.0
63,1506041043,98.0
64,1506127443,2.0
65,1506213843,29.0
66,1506300243,25.0
67,1506386643,55.0
68,1506473043,1.0
69,1506559443,70.0
70,1506645843,84.0
71,1506732243,9.0
72,1506818643,81.0
73,1506905043,53.0
74,1506991443,98.0
75,1507077843,3.0
76,1507164243,50.0
77,1507250643,44.0
78,1507337043,77.0
79,1507423443,85.0
80,1507509843,50.0
81,1507596243,13.0
82,1507682643,36.0
83,1507769043,26.0
84,1507855443,69.0
85,1507941843,90.0
86,1508028243,17.0
87,1508114643,68.0
88,1508201043,30.0
89,1508287443,53.0
90,1508373843,37.0
91,1508460243,17.0
92,1508546643,85.0
93,1508633043,82.0
94,1508719443,46.0
95,1508805843,56.0
96,1508892243,48.0
97,1508978643,65.0
98,1509065043,37.0
99,1509151443,27.0
