,Unnamed: 0,x
0,1500597842,61.0
1,1500684242,34.0
2,1500770642,47.0
3,1500857042,10.0
4,1500943442,2.0
5,1501029842,94.0
6,1501116242,88.0
7,1501202642,82.0
8,1501289042,52.0
9,1501375442,30.0
10,1501461842,94.0
11,1501548242,85.0
12,1501634642,71.0
13,1501721042,75.0
14,1501807442,16.0
15,1501893842,15.0
16,1501980242,55.0
17,1502066642,71.0
18,1502153042,99.0
19,1502239442,40.0
20,1502325842,30.0
21,1502412242,47.0
22,1502498642,5.0
23,1502585042,90.0
24,1502671442,63.0
25,1502757842,65.0
26,1502844242,37.0
27,1502930642,67.0
28,1503017042,58.0
29,1503103442,76.0
30,1503189842,28.0
31,1503276242,78.0
32,1503362642,22.0
33,1503449042,4.0
34,1503535442,22.0
35,1503621842,34.0
36,1503708242,18.0
37,1503794642,61.0
38,1503881042,48.0
39,1503967442,40.0
40,1504053842,28.0
41,1504140242,93.0
42,1504226642,40.0
43,1504313042,13.0
44,1504399442,57.0
45,1504485842,79.0
46,1504572242,4.0
47,1504658642,98.0
48,1504745042,88.0
49,1504831442,51.0
50,1504917842,72.0
51,1505004242,7.0
52,1505090642,62.0
53,1505177042,14.0
54,1505263442,48.0
55,1505349842,67.0
56,1505436242,3.0
57,1505522642,24.0
58,1505609042,84.0
59,1505695442,28.0
60,1505781842,66.0
61,1505868242,4.0
62,1505954642,29.0
63,1506041042,90.0
64,1506127442,77.0
65,1506213842,71.0
66,1506300242,44.0
67,1506386642,52.0
68,1506473042,6.0
69,1506559442,97.0
70,1506645842,22.0
71,1506732242,68.0
72,1506818642,15.0
73,1506905042,43.0
74,1506991442,79.0
75,1507077842,30.0
76,1507164242,56.0
77,1507250642,97.0
78,1507337042,43.0
79,1507423442,5.0
80,1507509842,74.0
81,1507596242,31.0
82,1507682642,23.0
83,1507769042,87.0
84,1507855442,91.0
85,1507941842,78.0
86,1508028242,61.0
87,1508114642,59.0
88,1508201042,0.0
89,1508287442,4.0
90,1508373842,90.0
91,1508460242,63.0
92,1508546642,71.0
93,1508633042,20.0
94,1508719442,32.0
95,1508805842,38.0
96,1508892242,29.0
97,1508978642,82.0
98,1509065042,61.0
99,1509151442,32.0
