date,y
1986-03-13,28.000002
1986-03-14,29.0
1986-03-17,29.5
1986-03-18,28.75
1986-03-19,28.249998
1986-03-20,27.5
1986-03-21,26.75
1986-03-24,25.999998
1986-03-25,26.5
1986-03-26,27.25
1986-03-27,27.75
1986-03-31,27.5
1986-04-01,27.25
1986-04-02,27.5
1986-04-03,27.75
1986-04-04,27.75
1986-04-07,27.25
1986-04-08,27.5
1986-04-09,28.000002
1986-04-10,28.249998
1986-04-11,28.75
1986-04-14,29.0
1986-04-15,29.0
1986-04-16,30.0
1986-04-17,30.250002
1986-04-18,29.25
1986-04-21,29.25
1986-04-22,28.75
1986-04-23,28.875
1986-04-24,31.75
1986-04-25,33.75
1986-04-28,34.0
1986-04-29,33.0
1986-04-30,32.25
1986-05-01,31.75
1986-05-02,31.75
1986-05-05,31.5
1986-05-06,31.75
1986-05-07,31.75
1986-05-08,32.0
1986-05-09,31.75
1986-05-12,32.0
1986-05-13,32.25
1986-05-14,32.0
1986-05-15,32.0
1986-05-16,32.25
1986-05-19,31.75
1986-05-20,31.5
1986-05-21,31.0
1986-05-22,31.0
1986-05-23,31.0
1986-05-27,32.0
1986-05-28,33.0
1986-05-29,33.75
1986-05-30,35.0
1986-06-02,34.0
1986-06-03,34.0
1986-06-04,33.75
1986-06-05,34.25
1986-06-06,34.25
1986-06-09,32.75
1986-06-10,32.75
1986-06-11,32.75
1986-06-12,31.5
1986-06-13,31.5
1986-06-16,31.25
1986-06-17,31.75
1986-06-18,31.5
1986-06-19,31.25
1986-06-20,31.375002
1986-06-23,31.75
1986-06-24,31.5
1986-06-25,31.0
1986-06-26,30.0
1986-06-27,29.75
1986-06-30,30.75
1986-07-01,30.75
1986-07-02,30.75
1986-07-03,31.25
1986-07-07,30.0
1986-07-08,29.25
1986-07-09,28.000002
1986-07-10,27.25
1986-07-11,28.000002
1986-07-14,27.625
1986-07-15,28.000002
1986-07-16,29.0
1986-07-17,29.5
1986-07-18,29.75
1986-07-21,29.75
1986-07-22,30.75
1986-07-23,30.0
1986-07-24,31.0
1986-07-25,31.25
1986-07-28,30.499998
1986-07-29,29.75
1986-07-30,28.75
1986-07-31,28.5
1986-08-01,28.249998
1986-08-04,28.249998
1986-08-05,28.000002
1986-08-06,27.75
1986-08-07,27.5
1986-08-08,27.75
1986-08-11,28.75
1986-08-12,29.5
1986-08-13,29.75
1986-08-14,30.499998
1986-08-15,30.625
1986-08-18,30.250002
1986-08-19,30.250002
1986-08-20,30.0
1986-08-21,30.0
1986-08-22,29.5
1986-08-25,29.5
1986-08-26,29.25
1986-08-27,29.25
1986-08-28,29.25
1986-08-29,28.5
1986-09-02,27.75
1986-09-03,27.0
1986-09-04,29.25
1986-09-05,30.499998
1986-09-08,30.250002
1986-09-09,30.75
1986-09-10,30.250002
1986-09-11,29.0
1986-09-12,28.249998
1986-09-15,28.75
1986-09-16,28.75
1986-09-17,29.5
1986-09-18,29.75
1986-09-19,29.75
1986-09-22,29.5
1986-09-23,30.0
1986-09-24,29.625
1986-09-25,29.0
1986-09-26,29.0
1986-09-29,28.249998
1986-09-30,28.249998
1986-10-01,28.000002
1986-10-02,28.000002
1986-10-03,28.249998
1986-10-06,30.499998
