date,y
2017-07-27 14:59:37.977598,17.0
2017-07-28 14:59:37.977598,71.0
2017-07-29 14:59:37.977598,90.0
2017-07-30 14:59:37.977598,11.0
2017-07-31 14:59:37.977598,93.0
2017-08-01 14:59:37.977598,54.0
2017-08-02 14:59:37.977598,92.0
2017-08-03 14:59:37.977598,25.0
2017-08-04 14:59:37.977598,70.0
2017-08-05 14:59:37.977598,94.0
2017-08-06 14:59:37.977598,88.0
2017-08-07 14:59:37.977598,13.0
2017-08-08 14:59:37.977598,64.0
2017-08-09 14:59:37.977598,53.0
2017-08-10 14:59:37.977598,52.0
2017-08-11 14:59:37.977598,30.0
2017-08-12 14:59:37.977598,21.0
2017-08-13 14:59:37.977598,67.0
2017-08-14 14:59:37.977598,4.0
2017-08-15 14:59:37.977598,89.0
2017-08-16 14:59:37.977598,40.0
2017-08-17 14:59:37.977598,11.0
2017-08-18 14:59:37.977598,29.0
2017-08-19 14:59:37.977598,93.0
2017-08-20 14:59:37.977598,15.0
2017-08-21 14:59:37.977598,16.0
2017-08-22 14:59:37.977598,39.0
2017-08-23 14:59:37.977598,90.0
2017-08-24 14:59:37.977598,2.0
2017-08-25 14:59:37.977598,13.0
2017-08-26 14:59:37.977598,53.0
2017-08-27 14:59:37.977598,33.0
2017-08-28 14:59:37.977598,76.0
2017-08-29 14:59:37.977598,88.0
2017-08-30 14:59:37.977598,87.0
2017-08-31 14:59:37.977598,64.0
2017-09-01 14:59:37.977598,92.0
2017-09-02 14:59:37.977598,16.0
2017-09-03 14:59:37.977598,74.0
2017-09-04 14:59:37.977598,66.0
2017-09-05 14:59:37.977598,98.0
2017-09-06 14:59:37.977598,99.0
2017-09-07 14:59:37.977598,11.0
2017-09-08 14:59:37.977598,59.0
2017-09-09 14:59:37.977598,79.0
2017-09-10 14:59:37.977598,32.0
2017-09-11 14:59:37.977598,36.0
2017-09-12 14:59:37.977598,86.0
2017-09-13 14:59:37.977598,41.0
2017-09-14 14:59:37.977598,70.0
2017-09-15 14:59:37.977598,41.0
2017-09-16 14:59:37.977598,77.0
2017-09-17 14:59:37.977598,74.0
2017-09-18 14:59:37.977598,32.0
2017-09-19 14:59:37.977598,44.0
2017-09-20 14:59:37.977598,32.0
2017-09-21 14:59:37.977598,30.0
2017-09-22 14:59:37.977598,54.0
2017-09-23 14:59:37.977598,33.0
2017-09-24 14:59:37.977598,47.0
2017-09-25 14:59:37.977598,99.0
2017-09-26 14:59:37.977598,9.0
2017-09-27 14:59:37.977598,0.0
2017-09-28 14:59:37.977598,49.0
2017-09-29 14:59:37.977598,89.0
2017-09-30 14:59:37.977598,73.0
2017-10-01 14:59:37.977598,46.0
2017-10-02 14:59:37.977598,12.0
2017-10-03 14:59:37.977598,32.0
2017-10-04 14:59:37.977598,77.0
2017-10-05 14:59:37.977598,47.0
2017-10-06 14:59:37.977598,26.0
2017-10-07 14:59:37.977598,81.0
2017-10-08 14:59:37.977598,10.0
2017-10-09 14:59:37.977598,65.0
2017-10-10 14:59:37.977598,78.0
2017-10-11 14:59:37.977598,46.0
2017-10-12 14:59:37.977598,96.0
2017-10-13 14:59:37.977598,83.0
2017-10-14 14:59:37.977598,72.0
2017-10-15 14:59:37.977598,92.0
2017-10-16 14:59:37.977598,63.0
2017-10-17 14:59:37.977598,59.0
2017-10-18 14:59:37.977598,75.0
2017-10-19 14:59:37.977598,98.0
2017-10-20 14:59:37.977598,39.0
2017-10-21 14:59:37.977598,70.0
2017-10-22 14:59:37.977598,85.0
2017-10-23 14:59:37.977598,62.0
2017-10-24 14:59:37.977598,83.0
2017-10-25 14:59:37.977598,48.0
2017-10-26 14:59:37.977598,60.0
2017-10-27 14:59:37.977598,7.0
2017-10-28 14:59:37.977598,34.0
2017-10-29 14:59:37.977598,30.0
2017-10-30 14:59:37.977598,35.0
2017-10-31 14:59:37.977598,16.0
2017-11-01 14:59:37.977598,24.0
2017-11-02 14:59:37.977598,0.0
2017-11-03 14:59:37.977598,73.0
